municipality,,coordinates,,iata_code,iso_country,,name,,icao_code
Honiara,,"160.05499267578, -9.4280004501343",,HIR,SB,,Honiara International Airport,,AGGH
Aba,,"102.35224, 32.53154",,AHJ,CN,,Hongyuan Airport,,ZUHY
Yaren District,,"166.919006, -0.547458",,INU,NR,,Nauru International Airport,,ANYN
Bayanhot,,"105.58858, 38.74831",,AXF,CN,,Alxa Left Banner Bayanhot Airport,,ZBAL
Buka Island,,"154.67300415039062, -5.4223198890686035",,BUA,PG,,Buka Airport,,AYBK
Kundiawa,,"144.9709930419922, -6.024290084838867",,CMU,PG,,Chimbu Airport,,AYCH
Daru,,"143.207992554, -9.08675956726",,DAU,PG,,Daru Airport,,AYDU
Goronka,,"145.391998291, -6.081689834590001",,GKA,PG,,Goroka Airport,,AYGA
Gurney,,"150.333999634, -10.3114995956",,GUR,PG,,Gurney Airport,,AYGN
Popondetta,,"148.309005737, -8.80453968048",,PNP,PG,,Girua Airport,,AYGR
Hoskins,,"150.40499877929688, -5.462170124053955",,HKN,PG,,Kimbe Airport,,AYHK
Kerema,,"145.770996094, -7.96361017227",,KMA,PG,,Kerema Airport,,AYKM
Kavieng,,"150.807998657, -2.57940006256",,KVG,PG,,Kavieng Airport,,AYKV
Madang,,"145.789001465, -5.20707988739",,MAG,PG,,Madang Airport,,AYMD
Mount Hagen,,"144.29600524902344, -5.826789855957031",,HGU,PG,,Mount Hagen Kagamuga Airport,,AYMH
Mendi,,"143.656998, -6.14774",,MDU,PG,,Mendi Airport,,AYMN
Manus Island,,"147.423996, -2.06189",,MAS,PG,,Momote Airport,,AYMO
Lae,,"146.725977, -6.569803",,LAE,PG,,Nadzab Airport,,AYNZ
Port Moresby,,"147.22000122070312, -9.443380355834961",,POM,PG,,Port Moresby Jacksons International Airport,,AYPY
Tokua,,"152.380004883, -4.34045982361",,RAB,PG,,Tokua Airport,,AYTK
Vanimo,,"141.3028, -2.6926",,VAI,PG,,Vanimo Airport,,AYVN
Wewak,,"143.669006348, -3.58383011818",,WWK,PG,,Wewak International Airport,,AYWK
Baku,,"49.9768066406, 40.4955422161",,ZXT,AZ,,Zabrat Airport,,UBTT
Yambol,,"26.3521995544, 42.4548988342",,JAM,BG,,Bezmer Air Base,,LBIA
Aasiaat,,"-52.7846984863, 68.7218017578",,JEG,GL,,Aasiaat Airport,,BGAA
Narsarsuaq,,"-45.4259986877, 61.1604995728",,UAK,GL,,Narsarsuaq Airport,,BGBW
Nuuk,,"-51.6781005859, 64.19090271",,GOH,GL,,Godthaab / Nuuk Airport,,BGGH
Kangerlussuaq,,"-50.7116031647, 67.0122218992",,SFJ,GL,,Kangerlussuaq Airport,,BGSF
Sisimiut,,"-53.729301, 66.951302",,JHS,GL,,Sisimiut Airport,,BGSS
Thule,,"-68.7032012939, 76.5311965942",,THU,GL,,Thule Air Base,,BGTL
Akureyri,,"-18.07270050048828, 65.66000366210938",,AEY,IS,,Akureyri Airport,,BIAR
Egilssta����ir,,"-14.401399612426758, 65.2833023071289",,EGS,IS,,Egilssta����ir Airport,,BIEG
